isolate	scheme	ST	adk	fumC	gyrB	icd	mdh	purA	recA
GCF_024730765.1_ASM2473076v1	ecoli_achtman_4	-	adk(100)	fumC(23)	gyrB(7)	icd(~45)	mdh(7)	purA(35)	recA(7)
GCF_024734095.1_ASM2473409v1	ecoli_achtman_4	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
GCF_024734835.1_ASM2473483v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024735225.1_ASM2473522v1	ecoli_achtman_4	6388	adk(43)	fumC(41)	gyrB(15)	icd(90)	mdh(11)	purA(8)	recA(457)
GCF_024735245.1_ASM2473524v1	ecoli_achtman_4	6388	adk(43)	fumC(41)	gyrB(15)	icd(90)	mdh(11)	purA(8)	recA(457)
GCF_024760205.1_ASM2476020v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_024917235.1_ASM2491723v1	ecoli_achtman_4	44	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(7)
GCF_024917275.1_ASM2491727v1	ecoli_achtman_4	224	adk(6)	fumC(4)	gyrB(33)	icd(16)	mdh(11)	purA(8)	recA(6)
GCF_024917335.1_ASM2491733v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024917355.1_ASM2491735v1	ecoli_achtman_4	44	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(7)
GCF_024917375.1_ASM2491737v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_024917455.1_ASM2491745v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024917475.1_ASM2491747v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_024917535.1_ASM2491753v1	ecoli_achtman_4	1193	adk(14)	fumC(14)	gyrB(10)	icd(200)	mdh(17)	purA(7)	recA(10)
GCF_024917655.1_ASM2491765v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_024917715.1_ASM2491771v1	ecoli_achtman_4	68	adk(33)	fumC(26)	gyrB(2)	icd(31)	mdh(5)	purA(16)	recA(19)
GCF_024917735.1_ASM2491773v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_024917795.1_ASM2491779v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_024917815.1_ASM2491781v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_024917895.1_ASM2491789v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024917955.1_ASM2491795v1	ecoli_achtman_4	44	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(7)
GCF_024917975.1_ASM2491797v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024917995.1_ASM2491799v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_024918015.1_ASM2491801v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_024918035.1_ASM2491803v1	ecoli_achtman_4	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
GCF_024918115.1_ASM2491811v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024918135.1_ASM2491813v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_024918155.1_ASM2491815v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_024918195.1_ASM2491819v1	ecoli_achtman_4	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
GCF_024918235.1_ASM2491823v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024918275.1_ASM2491827v1	ecoli_achtman_4	90	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(8)	recA(7)
GCF_024918295.1_ASM2491829v1	ecoli_achtman_4	617	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(73)
GCF_024918335.1_ASM2491833v1	ecoli_achtman_4	361	adk(10)	fumC(99)	gyrB(5)	icd(91)	mdh(8)	purA(7)	recA(2)
GCF_024918375.1_ASM2491837v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_024918395.1_ASM2491839v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024918415.1_ASM2491841v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024918755.1_ASM2491875v1	ecoli_achtman_4	12468	adk(1385)	fumC(7)	gyrB(5)	icd(1)	mdh(1171)	purA(18)	recA(2)
GCF_024918775.1_ASM2491877v1	ecoli_achtman_4	450	adk(6)	fumC(11)	gyrB(95)	icd(104)	mdh(8)	purA(7)	recA(2)
GCF_024918815.1_ASM2491881v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_024918895.1_ASM2491889v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_024918915.1_ASM2491891v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_024970535.1_ASM2497053v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_024971055.1_ASM2497105v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_024971795.1_ASM2497179v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_024971815.1_ASM2497181v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_024971875.1_ASM2497187v1	ecoli_achtman_4	-	adk(6)	fumC(7)	gyrB(5)	icd(1)	mdh(8)	purA(1)	recA(2)
GCF_024971895.1_ASM2497189v1	ecoli_achtman_4	-	adk(6)	fumC(7)	gyrB(5)	icd(1)	mdh(8)	purA(1)	recA(2)
GCF_025159115.1_ASM2515911v1	ecoli_achtman_4	457	adk(101)	fumC(88)	gyrB(97)	icd(108)	mdh(26)	purA(79)	recA(2)
GCF_025200555.1_ASM2520055v1	ecoli_achtman_4	6617	adk(10)	fumC(11)	gyrB(4)	icd(88)	mdh(8)	purA(8)	recA(2)
GCF_025200615.1_ASM2520061v1	ecoli_achtman_4	398	adk(64)	fumC(7)	gyrB(1)	icd(1)	mdh(8)	purA(8)	recA(6)
GCF_025200635.1_ASM2520063v1	ecoli_achtman_4	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
GCF_025200675.1_ASM2520067v1	ecoli_achtman_4	12782	adk(6)	fumC(4)	gyrB(347)	icd(10)	mdh(7)	purA(239)	recA(7)
GCF_025232455.1_ASM2523245v1	ecoli_achtman_4	196	adk(6)	fumC(19)	gyrB(3)	icd(16)	mdh(9)	purA(8)	recA(6)
GCF_025232475.1_ASM2523247v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_025244625.1_ASM2524462v1	ecoli_achtman_4	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_025244805.1_ASM2524480v1	ecoli_achtman_4	1193	adk(14)	fumC(14)	gyrB(10)	icd(200)	mdh(17)	purA(7)	recA(10)
GCF_025252345.1_ASM2525234v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025252445.1_ASM2525244v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025254305.1_ASM2525430v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025254465.1_ASM2525446v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025254605.1_ASM2525460v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025259645.1_ASM2525964v1	ecoli_achtman_4	501	adk(35)	fumC(132)	gyrB(2)	icd(27)	mdh(37)	purA(5)	recA(4)
GCF_025369675.1_ASM2536967v1	ecoli_achtman_4	752	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(49)
GCF_025369695.1_ASM2536969v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(12)	purA(35)	recA(155)
GCF_025369715.1_ASM2536971v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_025369735.1_ASM2536973v1	ecoli_achtman_4	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_025369775.1_ASM2536977v1	ecoli_achtman_4	5940	adk(20)	fumC(762)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_025369795.1_ASM2536979v1	ecoli_achtman_4	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_025369815.1_ASM2536981v1	ecoli_achtman_4	212	adk(6)	fumC(29)	gyrB(4)	icd(18)	mdh(11)	purA(8)	recA(6)
GCF_025369835.1_ASM2536983v1	ecoli_achtman_4	9862	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(739)	recA(7)
GCF_025369855.1_ASM2536985v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_025369875.1_ASM2536987v1	ecoli_achtman_4	141	adk(13)	fumC(52)	gyrB(10)	icd(14)	mdh(17)	purA(25)	recA(17)
GCF_025369915.1_ASM2536991v1	ecoli_achtman_4	2040	adk(6)	fumC(29)	gyrB(22)	icd(18)	mdh(11)	purA(8)	recA(41)
GCF_025369975.1_ASM2536997v1	ecoli_achtman_4	661	adk(119)	fumC(150)	gyrB(12)	icd(16)	mdh(24)	purA(8)	recA(6)
GCF_025398375.1_ASM2539837v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_025398755.1_ASM2539875v1	ecoli_achtman_4	216	adk(10)	fumC(11)	gyrB(57)	icd(8)	mdh(7)	purA(18)	recA(6)
GCF_025398915.1_ASM2539891v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_025399035.1_ASM2539903v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025399095.1_ASM2539909v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025399115.1_ASM2539911v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025399135.1_ASM2539913v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025402935.1_ASM2540293v1	ecoli_achtman_4	6913	adk(10)	fumC(932)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025426175.1_ASM2542617v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_025426195.1_ASM2542619v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_025426235.1_ASM2542623v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_025563435.1_ASM2556343v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025563475.1_ASM2556347v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025563515.1_ASM2556351v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025583265.2_ASM2558326v2	ecoli_achtman_4	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
GCF_025583295.2_ASM2558329v2	ecoli_achtman_4	617	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(73)
GCF_025583345.2_ASM2558334v2	ecoli_achtman_4	1011	adk(6)	fumC(4)	gyrB(159)	icd(44)	mdh(112)	purA(1)	recA(17)
GCF_025583375.2_ASM2558337v2	ecoli_achtman_4	162	adk(9)	fumC(65)	gyrB(5)	icd(1)	mdh(9)	purA(13)	recA(6)
GCF_025583565.2_ASM2558356v2	ecoli_achtman_4	1589	adk(6)	fumC(4)	gyrB(12)	icd(16)	mdh(7)	purA(5)	recA(6)
GCF_025583585.2_ASM2558358v2	ecoli_achtman_4	2659	adk(4)	fumC(26)	gyrB(2)	icd(312)	mdh(5)	purA(8)	recA(19)
GCF_025642235.1_ASM2564223v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_025643135.1_ASM2564313v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025643415.1_ASM2564341v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025643435.1_ASM2564343v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025643455.1_ASM2564345v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025643475.1_ASM2564347v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025677665.1_ASM2567766v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025677685.1_ASM2567768v1	ecoli_achtman_4	3103	adk(277)	fumC(8)	gyrB(3)	icd(16)	mdh(9)	purA(18)	recA(6)
GCF_025723205.1_ASM2572320v1	ecoli_achtman_4	223	adk(6)	fumC(4)	gyrB(4)	icd(18)	mdh(24)	purA(8)	recA(14)
GCF_025782825.1_ASM2578282v1	ecoli_achtman_4	361	adk(10)	fumC(99)	gyrB(5)	icd(91)	mdh(8)	purA(7)	recA(2)
GCF_025808215.1_ASM2580821v1	ecoli_achtman_4	349	adk(34)	fumC(36)	gyrB(39)	icd(87)	mdh(67)	purA(16)	recA(4)
GCF_025809255.1_ASM2580925v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025853875.1_ASM2585387v1	ecoli_achtman_4	399	adk(6)	fumC(4)	gyrB(1)	icd(95)	mdh(69)	purA(8)	recA(20)
GCF_025908275.1_ASM2590827v1	ecoli_achtman_4	744	adk(10)	fumC(11)	gyrB(135)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_025946525.1_ASM2594652v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_025946545.1_ASM2594654v1	ecoli_achtman_4	399	adk(6)	fumC(4)	gyrB(1)	icd(95)	mdh(69)	purA(8)	recA(20)
GCF_025946565.1_ASM2594656v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_025946585.1_ASM2594658v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_025995195.1_ASM2599519v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995255.1_ASM2599525v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995315.1_ASM2599531v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995355.1_ASM2599535v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995415.1_ASM2599541v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995475.1_ASM2599547v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995535.1_ASM2599553v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995615.1_ASM2599561v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995675.1_ASM2599567v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995735.1_ASM2599573v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025995895.1_ASM2599589v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996075.1_ASM2599607v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996315.1_ASM2599631v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996495.1_ASM2599649v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996555.1_ASM2599655v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996615.1_ASM2599661v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996675.1_ASM2599667v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025996735.1_ASM2599673v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_025999515.1_ASM2599951v1	ecoli_achtman_4	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
GCF_025999655.1_ASM2599965v1	ecoli_achtman_4	206	adk(6)	fumC(7)	gyrB(5)	icd(1)	mdh(8)	purA(18)	recA(2)
GCF_026001065.1_ASM2600106v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_026001125.1_ASM2600112v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_026001205.1_ASM2600120v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_026016785.1_ASM2601678v1	ecoli_achtman_4	3021	adk(8)	fumC(7)	gyrB(4)	icd(8)	mdh(8)	purA(18)	recA(233)
GCF_026074235.1_ASM2607423v1	ecoli_achtman_4	2179	adk(9)	fumC(65)	gyrB(5)	icd(18)	mdh(11)	purA(8)	recA(6)
GCF_026210495.1_ASM2621049v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_026210515.1_ASM2621051v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_026240775.1_ASM2624077v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_026247825.1_ASM2624782v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_026247845.1_ASM2624784v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_026247865.1_ASM2624786v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_026248845.1_ASM2624884v1	ecoli_achtman_4	361	adk(10)	fumC(99)	gyrB(5)	icd(91)	mdh(8)	purA(7)	recA(2)
GCF_026248865.1_ASM2624886v1	ecoli_achtman_4	1193	adk(14)	fumC(14)	gyrB(10)	icd(200)	mdh(17)	purA(7)	recA(10)
GCF_026248885.1_ASM2624888v1	ecoli_achtman_4	7131	adk(10)	fumC(11)	gyrB(125)	icd(8)	mdh(77)	purA(8)	recA(306)
GCF_026427755.1_ASM2642775v1	ecoli_achtman_4	695	adk(10)	fumC(11)	gyrB(4)	icd(12)	mdh(8)	purA(18)	recA(2)
GCF_026506315.1_ASM2650631v1	ecoli_achtman_4	8578	adk(13)	fumC(13)	gyrB(729)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_026506335.1_ASM2650633v1	ecoli_achtman_4	1485	adk(92)	fumC(231)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_026506355.1_ASM2650635v1	ecoli_achtman_4	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_026506375.1_ASM2650637v1	ecoli_achtman_4	448	adk(6)	fumC(6)	gyrB(5)	icd(16)	mdh(11)	purA(8)	recA(7)
GCF_026506395.1_ASM2650639v1	ecoli_achtman_4	8578	adk(13)	fumC(13)	gyrB(729)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_026506415.1_ASM2650641v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_026651085.1_ASM2665108v1	ecoli_achtman_4	144	adk(13)	fumC(43)	gyrB(9)	icd(36)	mdh(30)	purA(44)	recA(25)
GCF_026651105.1_ASM2665110v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_026651145.1_ASM2665114v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_026651165.1_ASM2665116v1	ecoli_achtman_4	12	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_026651185.1_ASM2665118v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_026651205.1_ASM2665120v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_026651225.1_ASM2665122v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_026651245.1_ASM2665124v1	ecoli_achtman_4	68	adk(33)	fumC(26)	gyrB(2)	icd(31)	mdh(5)	purA(16)	recA(19)
GCF_026651265.1_ASM2665126v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_026651285.1_ASM2665128v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_026689335.1_ASM2668933v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_026689355.1_ASM2668935v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_026723745.1_ASM2672374v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_026967655.1_ASM2696765v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_026968085.1_ASM2696808v1	ecoli_achtman_4	4713	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(379)	purA(28)	recA(29)
GCF_026968105.1_ASM2696810v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_027286085.1_ASM2728608v1	ecoli_achtman_4	1589	adk(6)	fumC(4)	gyrB(12)	icd(16)	mdh(7)	purA(5)	recA(6)
GCF_027474425.1_ASM2747442v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_027474445.1_ASM2747444v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_027474485.1_ASM2747448v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_027570235.2_ASM2757023v2	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_027925505.1_ASM2792550v1	ecoli_achtman_4	21	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(7)
GCF_027925565.1_ASM2792556v1	ecoli_achtman_4	7916	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(573)
GCF_027925625.1_ASM2792562v1	ecoli_achtman_4	21	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(7)
GCF_027925685.1_ASM2792568v1	ecoli_achtman_4	21	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(7)
